Status,Name,Category/Type,Teaser,Image,Influence Mapping,Collection,Language,Commissioner,Publisher,Publisher Country,Partners,Rationale (Why?),Approach (How?),Narrative,Query,Geographic Map,Timelines,Lists,Network Viz,Other  Viz,Export,Thematic Focus,Issue addressed,Keywords,Geographic Focus,Intended Impact,Target Audience,Online audience reached,Does the project have a twitter account?,Twitter Followers,Publisher's Twitter Followers (if needed),Google Page Rank,Newspasper's/Publisher's Page Rank (if applicable),Alexa Pange Rank,Newspaper's / Publisher's Alexa Page Rank (if applicable),OSE Domain Authority Rank,Marketing Grader Rank,Comments,News source,Offline Audience Reached,Outcome,Update date,Attempts against the project ,Attempts against the project #2,URL,Code URL,Description,Tool,Tool,Tool,Other tools,Team Size,Research,Data Science,Engineering,Design,Project Methodology,Open Source,Open data,Budget,Contracting,Risk Planning,Sustainability Planning,Data Modeling,Ethical Collection,Ethical storage,Data collection,Data Collection #2,Data verification,Data cleaning,Data Analysis,Data Description,Data Licencing,Ethical publishing,Ethical publishing #2,Data Publishing Mode,1,URL,2,URL,3,URL,,,,,Most recent update,Regularly Updated,,,,,Notes,Alternate News Sources,,
For Review Jun,Cargografías,Data provider,La linea de tiempo de los politicos argentinos,http://www.cargografias.org/img/logo.png,Yes,Single,Spanish,Cargografias,Cargografias,Argentina,"Hacklabs, International Center for Journalists, World Bank Institute",,"By mapping the duration of electoral mandates of all Argentinian political representatives, by provinding statistics about their number of political mandates, Cargografias provides a more transparent picture of Argentiian politics before the next presidential elections.",,Yes,,Yes,Yes,,Yes,Yes,Politics,"
Political campaigns","politics, argentina, timeline, terms of office",Argentina,Awareness Raising,General Public,Small Network,,1099,,3,,"4,965,419",,,,,http://www.politicargentina.com/notas/201506/6408-cargografias.php,National,N/A,"Oct 8, 2015",N/A,,http://www.cargografias.org/,https://github.com/cargografias,Cargografias is an experimental visualization tool that reveals the careers of the politicians inside the state.,,,,,Small,Dedicated,Dedicated,Dedicated,Dedicated,Agile,Yes,No,Small Project,No,No planning,Updated,Complex,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Public,Cited Sources,Signed project,Dump,,,,,,,,Version 4.0,2012,2013,"Jul 7, 1905",,63,39,56,70%,2 entries flagged as needing checking with the project. We could also check the N/A data cleaning and storage info with them at the same time.,,,
For Review Jun,La Fabrique de La loi,Data provider,"Les parlementaires font-ils la loi ?
Explorez l'évolution de la loi au fil de la procédure parlementaire avec La Fabrique de la Loi !",http://www.lafabriquedelaloi.fr/img/the-law-factory-logo.svg,Yes,Single,French,Région íle de France,Sciences Po Medialab,France,"CEE, Medialab Sciences Po, Regards Citoyens, Density Design, ",,"By mapping the votation and back and forths between political parties and political commissions, this project focuses on tracking the influence of different political interests in the lawmaking process.",,Yes,,Yes,Yes,,Yes,Yes,Politics,,"politics, France, list, complex data, lawmaking, institutions, viz",France,Research,General Public,Large Network,,N/A,,5,,"13,629,453",,,,,http://www.nextinpact.com/news/87835-avec-la-fabrique-loi-suivez-l-evolution-textes-votes-au-parlement.htm,National,N/A,"Oct 8, 2015",N/A,,http://www.lafabriquedelaloi.fr/,https://github.com/regardscitoyens/the-law-factory-parser,Documents and maps policy making though representatives debates and voting processes,,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,Yes,Yes,Medium Project,Single Delivery,No planning,Updated,Documents,No guidelines,N/A,External Sources,,Triangulated,N/A,Classification / Tagging / Categories / Linking,No,Open,Cited Sources,Signed project,API,Data Collection,http://www.lafabriquedelaloi.fr/a-propos.html,Data Publishing,http://www.lafabriquedelaloi.fr/a-propos.html,,,,Final product,2011,2014,,,65,38,56,68%,,,,
For Review Jun,Trade Advisory Commitee and Industry relationships,Who's who,The Obama administration's corporate-heavy network of official trade advisers has emerged as a point of sharp contention in a process that has been criticized by members of Congress and others as low on public transparency. ,N/A,Yes,Single,English,Self-commissionned,Washington Post,USA,Not applicable,,Sheds light on the corporate interests which might influence the Trade Advisory Commitee within the Obama Administration.,Yes,,,,,,"Yes
",,Lobbying,Politics,"politics, obama, industry, US, ",United States,Awareness Raising,General Public,International,,N/A,,N/A,,,208,,,No comments,,National,N/A,"Oct 8, 2015",N/A,,http://www.washingtonpost.com/wp-srv/special/business/trade-advisory-committees/,N/A,"The Obama administration's corporate-heavy network of official trade 
advisers has emerged as a point of sharp contention in a process that 
has been criticized by members of Congress and others as low on public 
transparency. ",,,,,Small,Some,None,None,None,Traditional,No,No,N/A,No,No planning,Static,Relational,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Cited Sources,Signed project,No,,,,,,,,Final product,2014,2014,"Feb 27, 2014",,60,39,56,70%,,,,
For Review Jun,Map the Banks,Geocoded data,"The financial crisis cost society over 10 trillion dollars. Before we can disrupt the industry, we need to understand what it looks like.",http://mapthebanks.com/images/logo.png,Yes,Single,English,N/A,Open Corporates,UK,"Open North, Civio, Open Corporates",,"Map financial transactions all around the world and track relationships between financial actors (creditors, banks etc.) in different countries.",,,Yes,,,,,,Finance,Geopolitics,"banking, world, debts, financial flows, crowdsourced data, geodata",World,Awareness Raising,General Public,Small Network,,,,N/A,,0,,,,,,N/A,N/A,"Oct 8, 2015",N/A,,http://mapthebanks.com/ ,N/A,"Collects, publishes & links data to the compagnies to give us a
 global picture of the finance sector and the financial flows between countries.",,,,,Medium,Outsourced,Outsourced,Dedicated,Dedicated,Agile,No,Yes,Small Project,Single Delivery,No planning,Updated,Relational,No guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Open,Cited Sources,,API,,,,,,,,Beta version,N/A,N/A,N/A,,57,39,56,70%,,,,
For Review Jun,Poderopedia,Who's who,N/A,http://www.poderopedia.org/poderopedia/static/img/logo-beta.png,Yes,Collection,Spanish,"Knight Foundation
",Poderopedia,"Chile, LATAM","Knight Foundation, Start Up Chile",,"By documenting and archiving relationships between politicians, entities and coporations in Chile, Venezuela and Colombia, Poderopedia tracks the dynamics of influence between these different actors.","Yes
",Yes,,,,Yes,,Yes,Politics,"Networks
","Chile, Colombia, Venezuela, power systems, network viz, popolo,  ","Chile, Colombia, Venezuela",Awareness Raising,General Public,Large Network,,9578,,5,,"239,935",,P,,,http://thenextweb.com/media/2012/03/16/poderopedia-a-data-journalism-project-to-map-the-chilean-elite/,International,N/A,"Oct 8, 2015",N/A,,http://www.poderopedia.org/,https://github.com/poderopedia,"Maps out politicians, business and others in Chile, and other countries of LATAM.",,,,,Large,Dedicated,None,Dedicated,Some,Traditional,Yes,,Medium Project,Iterative,No planning,Updated,Documents,No guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Partial,Cited Sources,Signed project,API,Project Management,http://www.poderopedia.org/poderopedia/pages/index/38,,,,,,Beta version,2011,2012,,Yes,64,38,56,68%,,"http://www.elobservatodo.cl/noticia/politica/de-quien-son-los-medios-de-comunicacion-chilenos-poderopedia-presento-mapa-de-medio,",http://www.rcnradio.com/nacional/quienes-son-los-candidatos-al-concejo-de-bogota-que-esconden/,http://www.eldinamo.cl/tech/2015/09/10/mapa-de-medios-de-poderopedia-quien-es-quien-en-la-industria-de-las-comunicaciones-en-chile/
For Review Jun,Resource Contracts,Data provider,"A searchable database of petroleum, mineral and land contracts ",N/A,Maybe,Single,English,"African Legal Support Facility, UK Department for International Development.",Resource Governance,United States,"The Natural Resource Governance Institute, the Columbia Center on Sustainable Investment, the World Bank Governance for Extractive Industries program.",,"By providing mining and oil contracts, from different countries, Resource Contracts enable actors to investigate and interrogate policies in place in those regions.",,Yes,,,Yes,,Yes,,Extractives,Oil contracts,"extractives, mining, resources, land, contracts, companies",World,Legal Action,Broad Professional/Sectoral,N/A,,N/A,,4,,"14,634,500",,,,,,N/A,N/A,"Oct 8, 2015",N/A,,http://www.resourcecontracts.org/,N/A,"A searchable database of petroleum, mineral and land contracts",,,,,Medium,Some,None,Some,Some,Traditional,No,No,Medium Project,Single Delivery,No planning,N/A,Documents,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Partial,Signed project,,No,Data Analysis,http://www.resourcecontracts.org/blog/guide-key-terms.html,Data Management,http://www.resourcecontracts.org/about/faqs.html,,,,Beta version,N/A,N/A,,,62,37,56,66%,,,,
For Review Jun,OpenDuka,Data provider,The freely accessible database of information on Kenyan entities,http://www.openduka.org/assets/img/od-beta-teal.png,Yes,Single,English,ATTI,Open Institute,Kenya,"Africa Transparency and Technology Initiative, Kenya Law",,Documents the social networks/ behind corporations and institutional entities in Kenya,,Yes,,,Yes,,,Yes,Corporations,"
","Corporations, Kenya, entities structure, open data, organizations",Kenya,Awareness Raising,General Public,N/A,,97,,3,,0,,,,,,National,N/A,"Oct 8, 2015",N/A,,http://www.openduka.org/,https://github.com/OpenInstitute/OpenDuka,"How the teams behind some likely and announced candidates are connected to 
previous campaigns, administrations and organizations close to the 
possible nominees",,,,,Medium,None,Some,Some,Some,Traditional,Yes,No,N/A,N/A,No planning,Updated,Relational,No guidelines,,External Sources,,No,N/A,Classification / Tagging / Categories / Linking,No,Public,Cited Sources,Signed project,API,Data Collection,http://www.openduka.org/index.php/faq,,,,,,Beta version,N/A,2014,N/A,,61,38,56,68%,,,,
For Review Jun,Presidential campaigns and staff connections ,Who's who,"Presidential candidates change, but the people who run the campaigns often remain the same. Here is how the teams behind some likely and announced candidates are connected to previous campaigns, administrations and organizations close to the possible nominees. Related",N/A,Yes,Single,English,Self-commissionned,NYT,US,,,"By identifying the political trajectories and ties of the team members of the  US presidential candidates, this project reveals who they have advised in the past and how it might influence the political game for the presidential election.",Yes,,,,Yes,,Yes,"
",Politics,,"presidential campaign staff, spin doctors, political system, US, politics, viz, who's who  
",United States,Awareness Raising,General Public,International,,N/A,,N/A,,,100,,,,https://netzpolitik.org/2014/okfest14-6-projekte-ueber-geld-politik-and-transparenz/,National,N/A,"Oct 8, 2015",N/A,,http://www.nytimes.com/interactive/2015/05/17/us/elections/2016-presidential-campaigns-staff-connections-clinton-bush-cruz-paul-rubio-walker.html,N/A,"The Times published an interactive graphic that looks at how the teams behind some likely and announced presidential candidates are connected to previous campaigns, administrations and organizations close to the possible nominees. ",,,,,Medium,Dedicated,Dedicated,Dedicated,None,Traditional,No,No,N/A,No,No planning,Updated,Relational,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Cited Sources,Signed project,No,,,,,,,,Final Product,2015,2015,"Jun 1, 2015",,60,38,56,68%,,,,
For Review Jun,Connected China,Investigation ,N/A,N/A,Yes,Single,English,Reuters,Fathom,US,Fathom,,This project shows how China's elite power structure works and identifies who is pulling the strings in the PRC.,Yes,,,,,Yes,Yes,"Yes
",Politics,,"China, political system, PRC, Reuters, stories, institutional power, social power, Fathom, who's who ",China,Awareness Raising,General Public,International,,549,2721,N/A,,"915,069",,,,,,International,N/A,"Oct 8, 2015",N/A,,http://china.fathom.info/,N/A,"Connected China tracks and visualizes the people, institutions and relationships that form China's elite power structure. Launched in February 2013, the app provides deep insight into China’s new generation of leaders and features the best of Reuters’ coverage in data, text, photos and video. It is optimized for iPad 2+ and modern browsers - Chrome and Safari recommended for best user experience. ",,,,,Medium,Dedicated,Dedicated,Some,Some,Traditional,No,No,N/A,Single Delivery,No planning,Static,Documents,Informal guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Anonymization of data ,Signed project,No,,,,,,,,Final Product,,2013,"Jul 11, 2014",,60,38,56,68%,,,,
For Review Jun,Quien Manda,Who's who,"Un mapa del poder en España, con fuentes verificables y listo para investigar y compartir",http://www.quienmanda.es/images/facebook_avatar.png,Yes,Single,Spanish,N/A,Civio,Spain,"Global Integrity, Sunlight Foundation",,"By giving information about the relationships between politicians, entities and coporations in Spain, this project shows who might be influenced by who in the long run.",Yes,Yes,,,Yes,Yes,,,Politics,,"Spain, Civio, network viz, politics, political system, economic interests, who's who, ",Spain,Awareness Raising,General Public,Large Network,,5752,,3,,"2,046,155",,,,,,National,N/A,"Oct 8, 2015",N/A,,"
http://www.quienmanda.es/",https://github.com/civio/quienmanda.es,Database of people and organisations in Spanish politics and business,,,,,Medium,Dedicated,Some,Some,Some,Traditional,No,No,Small Project,Single Delivery,No planning,Updated,Relational,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Partial,Cited Sources,Signed project,No,,,,,,,,Final Product,2014,2014,"Oct 1, 2015",,60,39,56,70%,,,,
