,,,,,,,,,,,,,,,,,,Easy to Install,Easy to Use,What you need to know,,,,Free to use and reuse,,,,,,,,
Name,Tags,Data Discovery / Searching,Unexplainable dread,Programming Language,Data Import,Data Export,Allows Bulk Upload,Displays Lists,Network Viz,Visual Network Editing/Building,Embeddable,Document Viz,Timelines,Maps,Custom Themes,Description,Home page,,,"Requirements (educational, skills,...)",Status,Type,Documentation,Open Source,Source URL,Open Content,Has Schema?,Schema URL,Team,Technology,Number of Users,Cost
PoderVocab,data standard,,,,,,,,,,,,,,,Ontology for Poderopedia,,,,,,data specification,dev.poderopedia.com/documentation/index,N/A,https://github.com/poderopedia/PoderVocabulary,Yes (GPL),Yes,"same as Documentation
","Miguel Paz, Juan Eduardo Hernández",RDF Ontology ,,
Popolo,"data standard, parliemntary monitoring",,,,,,,,,,,,,,,"Data standard for people, organisations, roles",http://popoloproject.com/,,,,,data specification,http://popoloproject.com/specs/,N/A,https://github.com/opennorth/popolo-spec,Yes (CC-BY),Yes (Popolo),"same as Documentation
",http://opennorth.ca/,"RDF, JSON",,
tx_people,,,,,,,,,,,,,,,,Django app with Popolo support,,,,,Dead,library (data model),,Yes (Apache),https://github.com/texas/tx_people,N/A,Yes (Popolo),https://github.com/texas/tx_people/blob/master/tx_people/models.py,http://texastribune.com,"Python, Django",,
PopIt,"api, backend, popolo",,,,,,,,,,,,,,,Reference data server for people in PMO settings,http://popit.mysociety.org/,,,,Dead,library (data model),http://popit.mysociety.org/docs,Yes (AGPL),https://github.com/mysociety/popit,N/A,Yes (Popolo),https://github.com/mysociety/popit-api/tree/master/schemas,http://www.mysociety.org/,"Node, Ruby, MongoDB",,
Sigma.js,"visualisation, graph visualisation, node graphs, library, canvas, javascript",,,,,,,,,,,,,,,JS library for rendering network diagrams,http://sigmajs.org/,,,,,library (network diagram),http://sigmajs.org/examples.html,Yes (MIT),https://github.com/jacomyal/sigma.js,N/A,No,,Alexis Jacomy / Sciences-Po MédiaLab ,JS,,
Cytoscape,"analysis, visualisation, desktop tool, biology",,,,,,,,,,,,,,,,,,,,,library (network diagram),,Yes (LGPL),https://github.com/cytoscape/cytoscape.js,N/A,No,,,,,
Cytoscape.js,"visualisation, javascript, library",,,,,,,,,,,,,,,JavaScript network diagram thing,http://js.cytoscape.org/,,,,,,,,,,,,,,,
Gruff,"data anlysis, linked data, medical applications, visual query builder, triple store",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligrapher,"tool on top of a platform, boutique node visualisation, small scale (30 nodes) node graph, specific story",,,,,,,,,,,,,,,LittleSis' topic-specific networks tool,http://littlesis.org/maps,,,,,library (network diagram),http://blog.littlesis.org/2014/07/22/introducing-oligrapher-power-mapping-on-littlesis/,Yes,https://github.com/skomputer/oligrapher,N/A,Yes (LittleSis),,,,,
Table 2 Net,"Gephi, import, web based, step by step, guided data meditation, wizard",,,,csv,gefx,,,,,,,,,,"Make network data out of tables, CSV-to-Gephi",http://tools.medialab.sciences-po.fr/table2net/,,,,,library (network diagram),,Yes (LGPL),https://github.com/medialab/table2net,N/A,No,,,,,
Graph Commons,building networks from scratch?,,,,"csv, google spreadsheet",,,,,Yes,,,,,,"Graph Commons is a collaborative 'network mapping' platform and a knowledge base of relationships. You can create, navigate, and distribute network maps, learn about the relationships between organizations, people, and concepts.
",http://graphcommons.com/,,,,,platform,http://graphcommons.com/about,No,,No,N/A (invite only),,Burak Arıkan ,,,
NodeMapper,,,,,google spreadsheet,,,,,,Yes,,,,,,https://github.com/poderomedia/nodemapper,,,,,library (network diagram),https://poderomedia.github.io/nodemapper/,Yes (MIT),https://github.com/poderomedia/nodemapper,N/A,No,,,,,
D3plus,"Layer on top of d3, maybe not influence mapping, maybe search for d3plus and whatever guide comes up add to the guides",,,,,,,,,,,,,,,,http://d3plus.org/,,,,,library (network diagram),,Yes (MIT),https://github.com/alexandersimoes/d3plus,N/A,No,,,,,
Timelines,"library, stakeholder, time paths?, lord of the rings mapping",,,,,,,,,,,,,,,GitHub-style collaboration graphs,http://timelines.hhba.info/,,,,,library (timeline),,Yes (Apache),https://github.com/hhba/timelines,N/A,No,,http://hhba.info/,JS,,
Investigative Dashboard,"request platform, large closed datasets, document search, case management, entity storage, erp for journalism, closed source",,,,,,,,,,,,,,,helps investigators expose illicit ties that cross borders,https://investigativedashboard.org/,,,,,platform,,No,,No,N/A (third-party),,https://occrp.org/,,,
ActionAid/DueDil Tax Haven Tracker,,,,,,,,,,,,,,,,FTSE 100 Tax Haven Map,http://www.actionaid.org.uk/campaign/ftse-100-tax-haven-tracker,,,,,platform,,No,,No,Yes (simple),https://docs.google.com/spreadsheet/ccc?key=0AjR-5aT01TRYdGJqRmZVLW9FX2Vqam0ySE1CZ0wyUkE&hl=en_US#gid=0,"ActionAid, DueDil",,,
