Published,Name,Home page,Source URL,Documentation,Description,Usage Audience,Installation Audience,Deployment,Desktop Version,Development Status,Notes,Tags,Practice,Sub Practice,Practice 2,Sub Practice 2,Practice 3,Sub Practice 3,Data Import Formats,Data Export Formats,Type,Type,Subtype,Feature Data Modeling,Feature Bulk Upload,Feature Displays Lists,Feature Network Viz,Feature Network Editing,Feature Network Analysis,Feature Embeddable,Feature Document Viz,Feature Timelines,Feature Maps,Feature Coding,Open Source,Open Source License,Has Schema?,Schema Domain,Schema URL,Team,Project Specific,Project,Programming Language,Dependency 1,Dependency 2,Dependency 3,Dependency Others
,PoderVocab,,https://github.com/poderopedia/PoderVocabulary ,http://dev.poderopedia.com/documentation/index ,Ontology for Poderopedia,Data User,Developer,Data,,Unmaintained,,"data standard, ontology",Organise,Model Data,Publish,Describe Data,,,,,,,,Yes,,,,,,,,,,Yes,Yes,GPL,PoderVocab,Influence,http://dev.poderopedia.com/documentation/index ,"Miguel Paz, Juan Eduardo Hernández",Yes,Poderopedia,,,,,
,Popolo,http://popoloproject.com/,https://github.com/popolo-project/popolo-spec,http://popoloproject.com/specs/,"Data standard for people, organisations, roles",Data User,Developer,Data,,Active,,"data standard, parliementary monitoring",Organise,Model Data,Publish,Describe Data,,,,,,,,Yes,,,,,,,,,,Yes,Yes,CC-BY,Popolo,Influence,http://popoloproject.com/specs/,http://opennorth.ca/,,,,,,,
No,tx_people,http://www.texastribune.org/directory/,https://github.com/texas/tx_people ,,Django app with Popolo support,Developer,Developer,Server,,Unmaintained,"Little value as unmaintained, adding instead Every Politician as a Popolo Django project that is maintained which should provide better educational value",,Organise,Model Data,Publish,Describe Data,,,,,,,,Yes,,,,,,,,,,Yes,Yes,Apache,Popolo,,https://github.com/texas/tx_people/blob/master/tx_people/models.py,http://texastribune.com,Yes,,Python,Django,Popolo,,
,PopIt,http://popit.mysociety.org/,https://github.com/mysociety/popit ,http://popit.mysociety.org/docs,Reference data server for people in PMO settings,User,Developer,Server,,Unmaintained,"No longer maintained as other 
political data projects, including YourNextRepresentative and 
EveryPolitician, are fundamentally doing very similar jobs 
(producing Popolo data about politicians) much better. See the [detailed note about this decision](https://groups.google.com/forum/#!msg/poplus/hIFdan_rIS8/36rx3dLPCQAJ)","api, backend, popolo",Collect,Collect Data,Publish,Present Data,,,,,library (data model),Platform,,,Yes,Yes,,,,,,,,,Yes,AGPL,Popolo,,https://github.com/mysociety/popit-api/tree/master/schemas,http://www.mysociety.org/,,,Ruby,Node,MongoDB,,
,EveryPolitician,http://everypolitician.org/,https://github.com/everypolitician,http://docs.everypolitician.org/,EveryPolitician aims to provide data about every politician in the world.,User,Developer,Hosted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popolo,Politics,http://docs.everypolitician.org/data_structure.html,,,,,,,,
,Your Next Representative,https://edit.yournextmp.com/,https://github.com/mysociety/yournextrepresentative,,The high quality source of free candidate data for the UK 2015 General Election,User,Developer,Hosted,,,,,,,,,,,,,,,,,,,,,,,,,,,,Affero,Popolo,,,,,,,,,,
,Sigma.js,http://sigmajs.org/,https://github.com/jacomyal/sigma.js,http://sigmajs.org/examples.html,JS library for rendering network diagrams,Developer,Developer,Browser,,,,"visualisation, graph visualisation, node graphs",Publish,Present Data,,,,,,,library (network diagram),Library,,,,,Yes,,,,,,,Yes,Yes,MIT,No,,,Alexis Jacomy / Sciences-Po MédiaLab ,,,Javascript,,,,
,Cytoscape,http://www.cytoscape.org/,https://github.com/cytoscape,http://www.cytoscape.org/documentation_users.html,"Network Data Integration, Analysis, and Visualization in a Box",Data User,User,Desktop,"OSX, Windows, Linux",,,"analysis, visualisation, desktop tool, biology",Organise,Analyse Data,Publish,Present Data,,,"SIF, NNF, GML, XGMML, SBML, BioPax, PSI-MI, GraphML, csv, Excel, JSON, Database","GML, XGMML, JSON",application,Application,,,,,Yes,,Yes,,,,,,Yes,LGPL,No,,,,,,Java,,,,
,Cytoscape.js,http://js.cytoscape.org/,https://github.com/cytoscape/cytoscape.js,http://js.cytoscape.org/,Graph theory (a.k.a. network) library for analysis and visualisation,Developer,Developer,Browser,,,,"visualisation, javascript, library",Publish,Present Data,,,,,JSON,,library (network diagram),Library,,,,,Yes,,Yes,Yes,,,,Yes,Yes,LGPL,,,,,,,Javascript,,,,
,Gruff,http://franz.com/agraph/gruff/,,,"Gruff is an interactive triple-store browser, query manager, and editor.",Data User,User,Desktop,"OSX, Windows, Linux",,,"data analysis, linked data, medical applications, visual query builder, triple store",Organise,Analyse Data,Publish,Present Data,,,"RDFa, SPARQL","n-triples, rdf/xml, rdf-n3,Trix, GML, csv",application,Application,,,,,Yes,Yes,Yes,,,,,,No,,,,,,,,RDF,AllegroGraph,,,
