Practice,Name,PracticeIntro,Alias,Description,Intro,Body
Plan,Get Started,"When you get started on a project it's usually an intuition or a question that guides you, but to achieve your goals, a little bit of planning goes a long way.",Planning,Get started on an influence mapping project,You've found a good place to start! The influence mapping toolbox project list should help you find about existing projects in your field or outside your field that can help you assess ,"You've found a good place to start! The influence mapping toolbox aims to help people learn about existing influence mapping projects, and to share learning about common practices, tools and project experiences, so that influence mapping as a practice can grow and have even more impact.

Influence mapping is at a stage now where there are many people doing similar work but, because the community is still fragmented, learning is not being shared as effectively or as widely as it could be. 

We have created a resource where the varied expertise and in-depth knowledge of influence mappers can be shared and built upon: a toolbox that will help newcomers and experts to map influence and make the most of their work. 

There are a number of aspects you need to think about before you start your project. But planning is often a continuous and iterative process so we recommend to come back to this section and the questions within it regularly as you progress.

In this section we'll be looking at project design, important ethical considerations, the different skillsets you might need and strategy."
Plan,Project Design,,Planning,Define your problem and structure your project,,"Influence mapping projects use varied methodologies or create tools that help to find evidence, stories and visualisations that aim to hold those in power accountable for their decisions.

> Stop! This toolbox defines influence mapping projects broadly and some of its lessons should be applicable to a range of situations, but nonetheless check if you're in the right place.

### Why and What? Vision and Goals

It's important to express what your current goals are for the project. This might change over the course of the project, and might evolve from being very ambitiously framed (""save the world"") to much more tightly defined. Here are a few more examples of well defined project aims:
 - [OpenCorporates](http://opencorporates.com) exists to make information about companies and the corporate world more accessible, more discoverable, and more usable, and thus give citizens, community groups, journalists, other companies, and society as a whole the ability to understand, monitor and regulate them.
 - [Lobbyradar](case_studies/lobbyradar.html) uncovers the lobbying groups and private interests in German politics.
 -[Cargografias](case_studies/cargografias.html) fosters transparency in Argentinian politics, helps citizens to get a full picture of the political history of the presidential candidates and members of the government in Argentina, and thus make decisions based on these facts.

Formulating your goals and vision helps you communicate your project to others, helps you develop links across communities and also helps you and your team keep your focus. This content can also be useful for fundraising, partnership building, communication on your website or social media as well as recruitment. It's particularly important to be clear on your aims versus how you want to achieve them if you are applying for funding for your project or writing a business plan. The next section explore how you might go about achieving your aims.

> Stop! If you haven't written down what you're trying to achieve with your project, it's time to take the time to formulate your aims and ""put them on paper"".

### How? Approach and Methodology

Now that you have clearly expressed your goal, you also need to express how you're going to get there. Different sectors will call this differently, for instance theory of change, approach, methodology or business plan. 

It's useful to first formulate a top level description of how you will achieve your project's aims. Try to keep it to one sentence:
 - [OpenCorporates](http://opencorporates.com) aims to do a straightforward (though big) thing: have a URL for every company in the world. 
 - [Lobbyradar](case_studies/lobbyradar.html) enables users to explore network visualisations that show links between institutions and people of influence within the german political sphere.
 - [Cargografias](case_studies/cargografias.html) allows you to explore the timelines of the electoral mandates of the Argentinian representatives.

Bear in mind that this probably will change over time. While you explore a particular approach, you might discover or stumble upon another more impactful or more achievable way to attain your goals.

In this section we will be discussing methods and approaches you can use to implement your influence mapping project. If you will build software you might use agile or waterfall methodologies. When considering design and user experience you might choose participatory or top-down approaches. If there's a research aspect to your project, you might be adopting action research or comparative research. In other sections we address specific methodologies for collecting, organising and publishing your data. 

The methodologies that we discuss here cut across data collection, organisation and publishing. Important methodological areas for influence mapping include methodologies that impact on the usability of data - your design methodologies, those that impact how you'll build software...

#### Design Methodologies

User centric methodologies

#### Technology

Agile methodologies

#### Research Methodologies

Finding a link, confirming a hypothesis, exploring, revealing, using

#### Investigation Methodologies

journalism

### Resources
 - Responsible data hanbook : Project Design design section."
Plan,Ethics,,Planning,Do the right thing,,"### How to collect data ethically

"
Plan,Collaboration,,Planning,Get the right skillset in your team,,"### What skills do you need?

### What are the different types of Partnerships?

### How to deal with technology contractors

### How to deal with project lead that want to contract with you"
Plan,Planning,,Planning,Devise a way to achieve your goals,,"### Budgeting

### Analyse your projects' risks

### Sustainability: Build your project to last"
Collect,Get Started,There's a lot of data out there asking the right questions and knowing when you need to organise your own data collection takes experience.,Collecting Data,Asking the right questions to get the right data,One of the first things to address around data collection is what your question is or what is the story you're trying to tell. This will determine which data you need. Data collection could have an impact beyond the objectives of your story and it's always important to consider the ethical aspect of your data collection before you start (refer to the [Plan > Ethics section](../plan/ethics.html)). ,"### Where does your data come from?

How you collect your data will depend on whether you source primary data: data you will collect yourself, secondary data: which you're collecting from external sources, or both.

One of the key questions when sourcing data externally, is how to [discover the right data](find-data-sources.html) sources and check if they are right for you.

If you're going to collect data yourself, you'll need to think about:
How will you [collect data](collect-data.html)? Through interviews, surveys, using online tools…

Whether you collect your own data or get it from an external source, you'll need to think about:
 - How will you [clean up the data](clean-data.html) into a format that's usable for your purpose?
 - How will you [verify and control the quality of the data](verify-data.html)?"
Collect,Find Data Sources,,Collecting Data,Find good data sources,,"Web search engines are a natural first go to point in order to identify data sets, or leads that will point to data sources that might not be published.

There are specialised data catalogue engines that might list data sources relevant to a particular industry or sector (such as the [Data Catalogs](datacatalogs.org) site) to specific countries or cities (such as the UK or US national open data portals) or sources tailored to specific professionals (Investigative Dashboard for investigative journalists, or Academic Journals for researchers). 

Also some influence mapping projects in this toolbox have data available for export. These might be good sources for your work.

[include projects with export feature]

You can also learn more about finding data for your project in this guides and resources:
 - [Data Journalism Handbook](http://datajournalismhandbook.org/1.0/en/getting_data.html) : Has tips on advanced web searches, data sites and services.
 - [Responsible Data Handbook](https://responsibledata.io/wp-content/uploads/2014/10/responsible-development-data-book.pdf) : Has advice on how to evaluate external data source and be aware of biases and gaps."
Collect,Collect Data,,Collecting Data,Organise the collection of data,,"One-off data collection projects are very different from longer term, ongoing data collection strategies. If your project is a one-off, it might be sufficient to organise a single collection effort, if not, then it's important to consider the frequency of your collection effort, its cost and the practicalities of the collection workflow.

Different methods work best in different contexts and for different questions. In addition, different methods have different costs and maintenance considerations. Pick your collection methods carefully (interviews, surveys, using online tools…) depending on which are most appropriate for your project. 

Sometimes it is best to start collecting data right away, so that you can get an idea of what the real data looks like. This can inform your data collection strategy as you progress with your project. 

Here are some resources that can help you select your collection approach: 
 - [Responsible Data Handbook](https://responsibledata.io/wp-content/uploads/2014/10/responsible-development-data-book.pdf) : Has advice on how to think about and design a responsible data collection process.
 - [Open crowdsourced data](https://opensource.com/business/15/2/open-crowdsourced-data): Provides some interesting reading on crowdsourcing data responsibly"
Collect,Clean Data,,Collecting Data,How to clean up your data?,,"Whether it's from an external source or your own collection effort, raw data is generally messy. There might empty records, duplication, unidentifiable inputs, and other anomalies that make it hard to understand what the data can tell you.

There are a number of tools that can help to give you perspectives on your data set that make it easier to spot problems.

[insert tools in ""refine"" category]

You can also learn more about techniques and tips regarding data cleaning:
- The [Data Journalism Handbook](http://datajournalismhandbook.org/1.0/en/understanding_data_2.html) has a section on cleaning messy data.
- The [Online Journalism Blog](http://onlinejournalismblog.com/tag/cleaning-data/) also has blog posts on various aspects of data cleaning. "
Collect,Verify Data,,Collecting Data,Checking your data quality,,"Verification can happen at various levels and is an iterative process. Authority and reputation of sources can play a part, but it's important to decide whether your data needs corroboration or triangulation (which is where you verify data by comparing three separate sources). 

If your data sources are themselves compiled and processed from different sources, provenance and traceability become an issue. Verification of external sources will make your workflow heavier and increase costs but may be necessary to maintain good data quality.

Here are some resources that can help you:
 - The Investigating with Databases chapter of the [Verification Handbook for Investigative Journalism](http://verificationhandbook.com/book2/chapter5.php) gives advice on verfying data sets before and after analysis.


"
