Status,Name,Category,Description,Image,Influence Mapping,Collection,Language,Commissioner,Publisher,Publisher is Journalistic?,Publisher Country,Partners,Rationale (Why?),Approach (How?),Narrative,Query,Geographic Map,Timelines,Lists,Network Viz,Other  Viz,Export,Thematic Focus,Issue addressed,Keywords,Geographic Focus,Intended Impact,Target Audience,Online audience reached,Does the project have a twitter account?,Twitter Followers,Publisher's Twitter Followers (if needed),Google Page Rank,Newspasper's/Publisher's Page Rank (if applicable),Alexa Pange Rank,Newspaper's / Publisher's Alexa Page Rank (if applicable),OSE Domain Authority Rank,Marketing Grader Rank,Comments,News source,Offline Audience Reached,Outcome,Update date,Attempts against the project ,Attempts against the project #2,URL,Code URL,Code URL 2,,Technical Architecture Documentation,Technical Documentation URL,Technical Documentation URL 2,Schema Documentation,Design Documentation,API Documentation,Description2,Screenshot,Tool,Tool,Tool,DB,Other DB,Frontend,Frontend,Frontend,Backend,Backend,Backend,Frontend Language,Frontend Language 2,Backend Language,Backend Language 2,Data Format,Data Format 2,Data Standard,Other tools,Data Source 1,Data Source 2,Data Source 3,Data Source 4,Data Source 5,,,Collection,Storage,Processing,Publication,Tech Best Practice 1,Tech Best Practice 2,Tech Best Practice 3,Team Size,Research,Data Science,Engineering,Design,Project Methodology,Open Source,Open data,Budget,Contracting,Risk Planning,Sustainability Planning,Data Modeling,Ethical Collection,Ethical storage,Data collection,Data Collection #2,Data verification,Data cleaning,Data Analysis,Data Description,Data Licencing,Ethical publishing,Ethical publishing #2,Data Publishing Mode,Practice1,Practice1URL,Practice2,Practice2URL,Practice3,Practice3URL,Misc,Phase,Project start date,Launch date,Most recent update,Regularly Updated,Notes,Alternate News Sources,,
Done,La Fabrique de La loi,Data provider,"La Fabrique de La loi tracks the evolution of the lawmaking and votation process in the French parliament

",http://www.lafabriquedelaloi.fr/img/the-law-factory-logo.svg,Yes,Single,French,Région íle de France,Sciences Po Medialab,,France,"CEE, Medialab Sciences Po, Regards Citoyens, Density Design, ",,"La Fabrique de La Loi visualizes with timelines and a track changes interface the votes of the MPs and the back and forths between the French Parliament and different political commissions, this project focuses on tracking the influence of different political interests in the lawmaking process.",,Yes,,Yes,Yes,,Yes,Yes,Politics,Tracking the legislative footprint,"politics, France, list, complex data, lawmaking, institutions, visualization, parliament, vote",France,Research,General Public,Large Network,No,N/A,,5,,"13,629,453",,36/100,51/100,,Some,National,N/A,"Oct 8, 2015",N/A,,http://www.lafabriquedelaloi.fr/,https://github.com/regardscitoyens/the-law-factory-parser,https://github.com/regardscitoyens/the-law-factory,,http://blog.lafabriquedelaloi.fr/2012/01/le-volet-technique-du-projet-%C2%AB-les-deputes-font-t-ils-la-loi-%C2%BB/,https://github.com/regardscitoyens/the-law-factory-parser/blob/master/README.md,,,http://blog.lafabriquedelaloi.fr/visualizing-the-law-factory-data/design-proposals/,https://www.lafabriquedelaloi.fr/api/,Documents and maps policy making though representatives debates and voting processes,,,,,Git,,d3.js,Angular.js,Diff Match and Patch libraries,BeautifulSoup,Requests,,Javascript,,Python,,JSON,CSV,,,http://data.senat.fr/dosleg/,http://cpc.regardscitoyens.org/trac/wiki/API,http://www.senat.fr/,,,,,Custom,Off the shelf,,Custom / Innovative,Version Controlled Data,Comprehensive Walk Through of Visualisations,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,Yes,Yes,Medium Project,Single Delivery,No planning,Updated,Documents,No guidelines,N/A,External Sources,,Triangulated,N/A,Classification / Tagging / Categories / Linking,No,Open,Cited Sources,Signed project,API,Collect,http://www.lafabriquedelaloi.fr/a-propos.html,Publish,http://www.lafabriquedelaloi.fr/a-propos.html,,,,Final product,2011,2014,2015,occasionely,,,,
Done,Poderopedia,Who's who,"With Poderopedia, you can explore stories and visualize the acquaintances of the elite ",http://www.poderopedia.org/poderopedia/static/img/logo-beta.png,Yes,Collection,Spanish,"Knight Foundation, Start Up Chile, ICFJ",Poderopedia,,"Chile, LATAM","
",," Poderopedia tracks the dynamics of influence between different actors such as politicians and corporate entities by documenting, archiving, visualizing relationships within the elite power system in Chile, Venezuela and Colombia,","Yes
",Yes,,,,Yes,,,Politics,Shadow influence,"Chile, Colombia, Venezuela, power systems, network viz, popolo,  ","Chile, Colombia, Venezuela",Awareness Raising,General Public,Large Network,,9578,,5,,"239,935",,42/100,42/100,,Medium,International,N/A,"Oct 8, 2015",N/A,,http://www.poderopedia.org/,https://github.com/poderopedia,,,,https://github.com/poderopedia/Documentation,https://github.com/poderopedia/PoderVocabulary,http://dev.poderopedia.com/documentation/index,,http://api.poderopedia.org/,"Maps out politicians, business and others in Chile, and other countries of LATAM.",,Document Cloud,Fuseki,Solr,MySql,PostgresSQL,Web2py,d3.js,,,,,Python,Coffescript,Python,,RDF,,,,,,,,,,,Custom,Custom / Innovative,Integration,Integration,Built on top of existing building blocks,Design and Publication of a Data Vocabulary,,Large,Dedicated,None,Dedicated,Some,Traditional,Yes,No,Medium Project,Iterative,No planning,Updated,Documents,No guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Partial,Cited Sources,Signed project,Scrapable,Plan,http://www.poderopedia.org/poderopedia/pages/index/38,,,,,,Beta version,2011,2012,2015,Yes,,"http://www.elobservatodo.cl/noticia/politica/de-quien-son-los-medios-de-comunicacion-chilenos-poderopedia-presento-mapa-de-medio,",http://www.rcnradio.com/nacional/quienes-son-los-candidatos-al-concejo-de-bogota-que-esconden/,http://www.eldinamo.cl/tech/2015/09/10/mapa-de-medios-de-poderopedia-quien-es-quien-en-la-industria-de-las-comunicaciones-en-chile/
Done,Swiss Leaks,Investigation ,The International Consortium of Investigative Journalists (ICIJ) analysis of leaked files of one of the world’s most private banks : HSBC,N/A,Yes,Single,English,Self-commissionned,ICIJ,m,US,,,ICIJ analyzed leaked HSBC files and uncovered the profiles of the main protagonists of this huge financial scandal in a news app. The project reveals the amount of money which has been circulating from 2006 and 2007 and indexes the coverage of these stories in various national newspapers.,Yes,,Yes,,Yes,,,,Finance,Traceability ,"financial flows, financial tracking, stories, datajournalism, ICIJ, banking system, HSBC leaks, Swissleaks",World,Awareness Raising,General Public,International,No,N/A,"41.2K 
",N/A,7,,"172,117",78/100,63/100,,Very High,International,"
",17/10/2015,N/A,,http://www.icij.org/project/swiss-leaks/explore-swiss-leaks-data,https://github.com/swissleaks/swiss_leaks_data,,,,,,,,,"Swiss Leaks is a collaborative investigation that exposes how the Swiss branch of one of the world’s biggest banks, HSBC, profited from doing business with tax dodgers and criminals around the world. It is a worldwide investigation conducted by the ICIJ.",,,,,,,,,,,,,,,,,CSV,,,,https://github.com/swissleaks/swiss_leaks_data,,,,,,,,,,,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,N/A,No,No,N/A,N/A,Minimal,Updated,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,,Scrapable,Organise,https://www.youtube.com/playlist?list=PLD8372B8BC7E9A4D5,Collect,http://www.icij.org/resources/tools,Plan,http://www.icij.org/resources/secrets%20of%20the%20masters,,Final Product,N/A,N/A,N/A,N/A,,,,
Done,Influence Explorer,Data provider,Influence Explorer lets you browse those who have contributed to US campaign finances,N/A,Yes,Collection,English,Sunlight Foundation,Sunlight Labs,,US,"Center for Responsive Politics, the National Institute on Money in State Politics, Taxpayers for Common Sense, the Project On Government Oversight, the EPA and USASpending.gov.",,"Influence Explorer helps you browse through real-time data streams containing economic contributions on the federal made my corporations, individuals, etc. It also indexes real-time lobbyies registrations. The website provides an API and bulk downloads.",,"Yes
",,,Yes,,Yes,Yes,Lobbying,Traceability ,"lobbies, US, lobbying spenders, lobby tracking, power relationships, political structure, stories, who's who, database, Sunlight Foundation",US,Research,Expert Audience,Large Network,No,N/A,44.3K,5,,"523,291",, 67 /100 ,79/100,,High ,National,N/A,17/10/2015,N/A,,http://influenceexplorer.com/,https://github.com/sunlightlabs/influence_explorer,,,,,,http://realtime.influenceexplorer.com/about/#data_dictionaries,,http://sunlightlabs.github.io/datacommons/#endpoints,"Influence Explorer provides an overview of campaign finance, lobbying, earmark, contractor misconduct and federal spending data.",,Data Commons,Brisket,Read_FEC,,,,,,Django,,,,,Python,,CSV,,,,http://opensecrets.org/,http://followthemoney.org/,http://taxpayers.net/,http://www.usaspending.gov/data,http://www.epa-echo.gov/echo/idea_download.html,http://www.fara.gov/,,Custom,Custom,Custom,Custom,Strong technical ecosystem and standard adoption,Development of Client Libraries,,Large,None,Dedicated,Dedicated,Dedicated,N/A,Yes,No,N/A,N/A,No planning,Updated,Complex,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,Detailed,Public,Cited Sources,Signed project,API,Publish,http://sunlightlabs.github.io/datacommons/,Collect,http://influenceexplorer.com/about/methodology,Organise,http://influenceexplorer.com/about/methodology,,Final Product,2010,N/A,2015,Yes but shut down on the 31st of december 2015,,,,
Done,The counted,Investigation ,The Guardian created the first online database of police killings in the USA,N/A,No,Single,English,Self-commissionned,The Guardian,y,UK,,,"The Guardian reporters and analysts indexed the number of killings by the police and gathered statistical information such as race, state but also the names of the victimes, The Guardian is now building -- with the help of Internet users who can submit a tip-- the very first database of all the killings and indirect casualties committed by the police in the US.",Yes,"Yes
",Yes,,Yes,,,Yes,Justice,Abuses of power,"US, blacklivesmatter, accountability, police, killings, database, statistics, viz, journalism, The Guardian",US,Movement Building,General Public,International,Yes,13.4K,4.37M,N/A,7,,135,96/100,87/100,,Very High,International,"Raising questions about the data collection done by the FBI, as it offers no category for recording killings by law enforcement officers of people who were not felons.",17/10/2015,N/A,,"
http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/the-counted-police-killings-us-database",,,,,,,,,,The Guardian is counting the people killed by US law enforcement agencies this year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,N/A,No planning,Updated,Complex,No guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Restricted,Cited Sources,Signed project,Dump,Plan,http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/about-the-counted,Collect,http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/about-the-counted,,,,Final Product,2015,2015,"Oct 15, 2015",Yes,,,,
Done,Lobby radar ,Who's who,Lobby Radar uncovers the lobbying groups and private interests in German politics,https://www.lobbyradar.de/assets/images/zdf-lobbyradar-logo.svg,Yes,Single,German,Self-commissionned,ZDF heute,y,Germany,"ZDF heute.de, Medieninnovationszentrum Babelsberg MIZ and OpenDataCity",,Lobby Radar mapped the network of connections between industrial lobbies and German politicians. It also supplies a plugin that alerts the user whenever a page contains any name or information about an actor or entity in their database so that users (and voters) can be more knowledgeabe about a politician or a company.,Yes,,,,,Yes,,,Lobbying,Traceability ,"journalism, Heute, Germany, lobbying, network viz, politics, institutional powers, ",Germany,Awareness Raising,General Public,National,Yes,62,703K,N/A,8,"3,398,691",2933, 13 /100 ,30/100,,Some,National,N/A,19/10/2015,N/A,,https://www.lobbyradar.de/verbindungssuche,https://github.com/lobbyradar/lobbyradar,https://github.com/lobbyradar/scraper-lobbyliste,https://github.com/lobbyradar/lobbyradar-extension,,,,https://github.com/lobbyradar/lobbyradar/blob/release/doc/types.md,,,Lobby radar uncovers relationships between lobbies and german policymakers. ,http://ctrlv.in/687596,Scraper Lobbyliste,,,MongoDB,,,,,Node.js,,,,,,,,,,,,,,,,,,Custom,Off the shelf,Some Custom,,Innovative caching and interface for large graph visualisation ,Well documented API and data format,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,Yes,No,N/A,N/A,No planning,No planning,Relational,No guidelines,N/A,External Sources,Trained Collectors,Corroborated,N/A,Graph,N/A,Restricted,Cited Sources,Signed project,Scrapable,Collect,https://www.lobbyradar.de/oft-gestellte-fragen#collapseSix,Collect,https://www.lobbyradar.de/oft-gestellte-fragen#collapseSeven,,,,Final Product,2015,2015,2015,N/A,,,,
Finalising,Rise Project ,Investigation ,"The RISE Project reveals hidden connections between criminal organizations, politicians and businessmen in and around Romania",https://www.riseproject.ro/wp-content/themes/Rise2015/images/logo.png,Yes,Single,Romanian,N/A,N/A,,Romania,"OCCRP, Investigative Dashboard, HotNews.ro, Visual Investigative scenario, Swiss-Romanian Cooperation Programme,  ",,"The Rise Project uses data analysis, leaked documents and investigative techniques to help reveal organized crime networks and the political and economic corruptions. They also provide a secure document transfer system. ",Yes,,,,Yes,Yes,,,"
Exposure",Tracking corruption,"stories, Romania,organized crime, OCCRP, riseproject, infographics, investigations",Romania,Movement Building,General Public,Large Network,yes,188,,4,,"357,721",,37/100,74/100,,Some,Regional ,N/A,19/10/2015,N/A,,http://www.riseproject.ro/,,,,,,,,,,Who is who within the organized crime and business in Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,Dedicated,Dedicated,Dedicated,Outsourced,N/A,No,No,N/A,N/A,Minimal,No planning,Relational,N/A,N/A,Trained Collectors,External Sources,Corroborated,N/A,Graph,No,Restricted,Signed project,,No,,,,,,,,Final Product,2012,Unavailable,2015,yes,,,,
Done,The Proxy Platform,Investigation ,The Proxy Platform exposes proxy companies used for money laundering by crime lords and corrupt government beaurocrats in Eastern Europe,N/A,Yes,Single,English,OCCRP,OCCRP,,,"OCCRP, Novaya Gazeta, The Serbian Center for Investigative Journalism, Kyiv Post, The Baltic Center for Investigative Journalism, TV3 Latvia, CIN, CINS",,"Reporters for The Proxy Platform combined data - from documents including court records, financial transactions, banking transactions and interviews - to uncover stories about money laundering platform for organized crime and corrupt politicians.",Yes,,,,Yes,Yes,,,Exposure,Tracking corruption,"Eastern Europe, tracking crime, journalism, money laundering, corruption",Eastern Europe,Awareness Raising,General Public,International,No,,4371,4,5,"2,238,416","400,050",44/100,77/100,,Medium,International,N/A,19/10/2015,Legal action,,https://www.occrp.org/en/projects,,,,,,,,,,A investigative project powered by OCCRP which reveals through visualizations and details with stories how the laundering activities of corrupt politicians and criminals prospered throughout Eastern Europe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,Dedicated,Dedicated,Some,Dedicated,Traditional,No,No,N/A,N/A,Sensitive,No planning,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,,No,Collect,https://www.reportingproject.net/proxy/en/the-proxy-platform,,,,,,Final Product,2011,2011,2012,not anymore,,,,
Done,Follow The Money ,Data provider,Follow The Money is a free and verified archive of contributions to political campaigns in the US,http://www.followthemoney.org/themes/ftm/images/logo.png,Yes,Single,English,"The Bauman Foundation, The California Endowment, Carnegie Corporation of New York, Energy Foundation, Ford Foundation, The James Irvine Foundation, Knight Prototype Fund, Mac Arthur Foundation, Robert Mc Cormick Foundation, Mertz Gilmore Foundation, Open Society Foundations, Rockfeller Family Fund, Rockfeller Brothers fund, Sunlight Foundation ",The National Institute on Money in State Politics,,US,,,"The National Institute on Money in State Politics uses data from official disclosure agencies, and staff then use research techniques to verify, standardise and code the data for inclusion in the archive.",Yes,Yes,,,Yes,,Yes,Yes,Politics,Tracking financial influence,"US, corporate interests, lobbying, campaign financing, finance tracking, elections",US,Research,Broad Professional/Sectoral,International,Yes,652,,6,,"342,430",,71/100,51/100,,Very High,National,"The National Institute on Money in State Politics is considered the go-to resource to facilitate reporting into campaign contributions (RAND Corporation 2014). They have also been cited in legal proceedings over 1,000 times in the past decade source: http://www.followthemoney.org/our-data/our-data-in-action/)",19/10/2015,N/A,,http://www.followthemoney.org,,,,,,,,,http://www.followthemoney.org/our-data/apis/documentation/,Follow The Money is a verifiable archive of contributions to political campaigns in all 50 states of the US.,,,,,,,,,,,,,,,,,,,,,http://www.fec.gov/,https://stations.fcc.gov/,http://www.irs.gov/Charities-&-Non-Profits/Political-Organizations/Political-Organization-Filing-and-Disclosure%20,http://www.ncsl.org/research/elections-and-campaigns/campaign-finance.aspx,http://www.followthemoney.org/resources/state-disclosure-agencies/,,,,,,,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,No,No,Large Project,No,No planning,No planning,List,No guidelines,N/A,Trained Collectors,,Triangulated,Validation,Simple,Basic,Public,Cited Sources,Signed project,API,Publish,http://followthemoney.org/our-data/apis/,Collect,http://www.followthemoney.org/our-data/about-our-data/,Organise,http://www.followthemoney.org/our-data/about-our-data/,,Final Product,2013,2013,2015,yes,,,,
Done,EUCommunity,Who's who,EU Community provides an insight into who is influential in EU Policymaking,http://euractory.eucommunity.eu/sites/default/files/logo-beta.png,Yes,Single,English,European Commission,EurActive,,European Project,"Intrasoft International, Fondation EurActiv PoliTech, University of Aegean, EurActiv.com, Athens Technology center, I-Europa.sk, Fraunhofer IGD, Universitat Oberta de Catalunya",,"EU Community's EurActory platform identifies and ranks experts and actors in EU Policy, and shows their influence by assessing 8 different criteria, both on and offline. Its PolicyLine tool visualises policy processes and provides information on significant events and documents (and the people involved).",,Yes,,,Yes,,Yes,,Exposure,Lack of transparency of EU institutions and EU expertises,"database, politics, Europe, European community, european experts,",Europe,Policy Advice,Broad Professional/Sectoral,Large Network,yes,517,,N..A,,"8,059,024",,24/100,46/100,,Some,International,N/A,22/10/2015,N/A,,http://euractory.eucommunity.eu/,,,,,,,,,,"EurActory is a new and free service, developed by EU Community. EurActory scans the growing amount of information about people involved in EU policy making. It analyses and ranks the information, identifying the relevant experts.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Agile,No,No,N/A,N/A,No planning,No planning,List,N/A,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,Not documented,Scrapable,Collect,http://euractory.eucommunity.eu/ranking,,,,,,Beta version,2013,2015,2015,yes,,,,
