Name,Status,Target Audience,Description,Tags,Home page,Source URL,Documentation,Open Source,Open Content,Has Schema?,Schema URL,Team,Number of Users,Cost,Practice,Sub Practice,Practice 2,Sub Practice 2,Type,Type,Subtype,Project Specific,Language,Dependency 1,Dependency 2,Dependency 3,Data Discovery / Searching,Unexplainable dread,Technology,Programming Language,Data Import,Data Export,Allows Bulk Upload,Displays Lists,Network Viz,Network Editing,Network Analysis,Embeddable,Document Viz,Timelines,Maps,Custom Themes
PoderVocab,,Data User,Ontology for Poderopedia,data standard,,https://github.com/poderopedia/PoderVocabulary,dev.poderopedia.com/documentation/index,N/A,Yes (GPL),Yes,"same as Documentation
","Miguel Paz, Juan Eduardo Hernández",,,Organise,Model Data,Publish,Describe Data,data specification,Data Standard,,,,,,,,,RDF Ontology ,,,,,,,,,,,,,
Popolo,,Data User,"Data standard for people, organisations, roles","data standard, parliemntary monitoring",http://popoloproject.com/,https://github.com/opennorth/popolo-spec,http://popoloproject.com/specs/,N/A,Yes (CC-BY),Yes (Popolo),"same as Documentation
",http://opennorth.ca/,,,Organise,Model Data,Publish,Describe Data,data specification,Data Standard,,,,,,,,,"RDF, JSON",,,,,,,,,,,,,
tx_people,Dead,Developer,Django app with Popolo support,,http://www.texastribune.org/directory/,https://github.com/texas/tx_people,,Yes (Apache),N/A,Yes (Popolo),https://github.com/texas/tx_people/blob/master/tx_people/models.py,http://texastribune.com,,,Organise,Model Data,Publish,Describe Data,library (data model),Library,,Yes,Python,Django,Popolo,,,,"Python, Django",,,,,,,,,,,,,
PopIt,Dead,Basic User,Reference data server for people in PMO settings,"api, backend, popolo",http://popit.mysociety.org/,https://github.com/mysociety/popit,http://popit.mysociety.org/docs,Yes (AGPL),N/A,Yes (Popolo),https://github.com/mysociety/popit-api/tree/master/schemas,http://www.mysociety.org/,,,Collect,Collect Data,Publish,Present Data,library (data model),Platform,,,,,,,,,"Node, Ruby, MongoDB",,,,Yes,Yes,,,,,,,,
Sigma.js,,Developer,JS library for rendering network diagrams,"visualisation, graph visualisation, node graphs, library, canvas, javascript",http://sigmajs.org/,https://github.com/jacomyal/sigma.js,http://sigmajs.org/examples.html,Yes (MIT),N/A,No,,Alexis Jacomy / Sciences-Po MédiaLab ,,,Publish,Present Data,,,library (network diagram),Library,,,,,,,,,JS,,,,,,Yes,,,,,,,
Cytoscape,,Data User,,"analysis, visualisation, desktop tool, biology",http://www.cytoscape.org/,https://github.com/cytoscape/cytoscape.js,,Yes (LGPL),N/A,No,,,,,Organise,Analyse Data,Publish,Present Data,application,Application,,,,,,,,,,Java,"SIF, NNF, GML, XGMML, SBML, BioPax, PSI-MI, GraphML, csv, Excel, JSON, Database","GML, XGMML, JSON",,,Yes,,Yes,,,,,
Cytoscape.js,,Developer,JavaScript network diagram thing,"visualisation, javascript, library",http://js.cytoscape.org/,,,,,,,,,,Publish,Present Data,,,library (network diagram),Library,,,,,,,,,,Javascript,JSON,,,,Yes,,Yes,Yes,,,,
Gruff,,Data User,,"data analysis, linked data, medical applications, visual query builder, triple store",http://franz.com/agraph/gruff/,,,,,,,,,,Organise,Analyse Data,Publish,Present Data,application,Application,,,,AllegroGraph,,,,,"RDF, SPARQL",,"RDFa, SPARQL","n-triples, rdf/xml, rdf-n3,Trix, GML, csv",,,Yes,Yes,Yes,,,,,
Oligrapher,,Developer,LittleSis' topic-specific networks tool,"tool on top of a platform, boutique node visualisation, small scale (30 nodes) node graph, specific story",http://littlesis.org/maps,https://github.com/skomputer/oligrapher,http://blog.littlesis.org/2014/07/22/introducing-oligrapher-power-mapping-on-littlesis/,Yes,N/A,Yes (LittleSis),,,,,Publish,Present Data,,,library (network diagram),Library,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,
Oligrapher 2,,Developer,LittleSis' topic-specific networks tool,,,https://github.com/skomputer/oligrapher2,,Yes,,Yes (LittleSis),,,,,Publish,Present Data,,,library (network diagram),Library,,,,,,,,,"JS, React, Redux",Javascript,,,,,Yes,Yes,,Yes,,,,
Table 2 Net,,Data User,"Extract a network from a table. Set a column for nodes and a column for edges. It deals with multiple items per cell. Make network data out of tables, CSV-to-Gephi","Gephi, import, web based, step by step, guided data meditation, wizard",http://tools.medialab.sciences-po.fr/table2net/,https://github.com/medialab/table2net,,Yes (LGPL),N/A,No,,,,,Organise,Integrate Data,,,,Web Application,,,,,,,,,,,csv,gefx,,,,,,,,,,
Graph Commons,,Basic User,"Graph Commons is a collaborative 'network mapping' platform and a knowledge base of relationships. You can create, navigate, and distribute network maps, learn about the relationships between organizations, people, and concepts.
",building networks from scratch?,http://graphcommons.com/,,http://graphcommons.com/about,No,No,N/A (invite only),,Burak Arıkan ,,,Collect,Collect Data,Publish,Present Data,platform,Web Application,,,,,,,,,,,"csv, google spreadsheet",,,,,Yes,,,,,,
NodeMapper,,Developer,NodeMapper is a opinionated D3.js data visualization library that allows you to create and manage network visualizations in a simple way so you can use your time on customizing it as you see fit. A project by Poderomedia Foundation.,,https://github.com/poderomedia/nodemapper,https://github.com/poderomedia/nodemapper,https://poderomedia.github.io/nodemapper/,Yes (MIT),N/A,No,,,,,Publish,Present Data,,,library (network diagram),Library,,,,,,,,,,,google spreadsheet,,,,Yes,,,Yes,,,,
D3plus,,Developer,,"Layer on top of d3, maybe not influence mapping, maybe search for d3plus and whatever guide comes up add to the guides",http://d3plus.org/,https://github.com/alexandersimoes/d3plus,,Yes (MIT),N/A,No,,,,,Publish,Present Data,,,library (network diagram),Library,,,,,,,,,,,,,,,,,,,,,,
Timelines,,Developer,GitHub-style collaboration graphs,"library, stakeholder, time paths?, lord of the rings mapping",http://timelines.hhba.info/,https://github.com/hhba/timelines,,Yes (Apache),N/A,No,,http://hhba.info/,,,Publish,Present Data,,,library (timeline),,,,,,,,,,JS,,,,,,,,,,,Yes,,
Relationship Science,,Basic User,,,https://www.relsci.com/,,,No,No,N/A (paid account),,,,,Organise,Analyse Data,,,product (analyze),Web Application,,,,,,,,,,,,,,,Yes,,Yes,,,,,
Capital IQ,,Basic User,,,http://www.spcapitaliq.com/,,,No,No,N/A (paid account),,,,,Organise,Analyse Data,,,product (analyze),,,,,,,,,,,,,,,,,,,,,,,
VIS (Visual Investigative Scenarios),,Basic User,"(VIS) is a data visualization platform designed to assist investigative journalists, activists and others in mapping complex business or crime networks.",,http://vis.occrp.org/,,,No,No,Yes (simple),,https://occrp.org/,,,Publish,Present Data,,,product (build),,,,,,,,,,PHP,,,,,,Yes,Yes,,,,,,
Kumu.io,,Basic User,Great datavis / node editing tool ,,http://kumu.io/,,,No,No,No (user-defined),,Jeff Mohr,,,Collect,Collect Data,Publish,Present Data,product (build),,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,
Lynksoft,,,,,http://lynksoft.com/,,,No,No,No (labels only),,,,,,,,,product (build),,,,,,,,,,,,,,,,,,,,,,,
DIVE,,,Data Integration and Visualization Engine,,http://dive.media.mit.edu/,,,No,No,N/A (pre-launch),,,,,,,,,product (visualize),,,,,,,,,,,,,,,,,,,,,,,
Mapa76 / analice.me,,,Document entity extraction for large datasets,,http://mapa76.info/,https://github.com/hhba/mapa76,,Yes (MIT),N/A,N/A (inaccessible),,http://hhba.info/,,,,,,,tool,,,,,,,,,,"Ruby, MongoDB, Redis",,,,,,,,,,,,,
Grano,,,Facebook for terrorists,,http://granoproject.org,http://github.com/pudo/grano,http://granoproject.org/docs,Yes (MIT),N/A,No (user-defined),,http://pudo.org,,,,,,,tool,,,,,,,,,,"Python, MongoDB, ElasticSearch",,,,,,,,,,,,,
Transparency Toolkit,,,Data acquisition from multiple sources,,https://transparencytoolkit.org/,https://github.com/TransparencyToolkit/Transparency-Toolkit,,Yes (GPL),N/A,Yes (not relevant),https://github.com/TransparencyToolkit/Transparency-Toolkit/blob/master/db/schema.rb,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
loom,,,Interactive generation of corporate networks,,http://loom.grano.cc,https://github.com/pudo/loom,,Yes (MIT),N/A,Yes (simple),https://github.com/granoproject/loom/tree/master/loom/model,,,,,,,,tool,,,,,,,,,,"Python, Postgres",,,,,,,,,,,,,
ANTA,,,Text to entities processing tool,,https://github.com/medialab/ANTA,https://github.com/medialab/ANTA,,Yes (LGPL),N/A,Yes (not relevant),https://github.com/medialab/ANTA/tree/master/application/models,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
Hyphe,,,Web crawler that generates network data,"natural language processing, crawling",http://hyphe.medialab.sciences-po.fr/demo/,https://github.com/medialab/hyphe,,Yes (LGPL),N/A,Yes (not relevant),,,,,,,,,tool,,,,,,,,,,,,,,,,,,,,,,,
